abbreviation,latitude,longitude,name,coordinates
AL,32.318231,-86.902298,Alabama,"(32.318231, -86.902298)"
AR,35.20105,-91.831833,Arkansas,"(35.20105, -91.831833)"
AZ,34.048928,-111.093731,Arizona,"(34.048928, -111.093731)"
CA,36.778261,-119.417932,California,"(36.778261, -119.417932)"
CO,39.550051,-105.782067,Colorado,"(39.550051, -105.782067)"
CT,41.603221,-73.087749,Connecticut,"(41.603221, -73.087749)"
DC,38.905985,-77.033418,District of Columbia,"(38.905985, -77.033418)"
DE,38.910832,-75.52767,Delaware,"(38.910832, -75.52767)"
FL,27.664827,-81.515754,Florida,"(27.664827, -81.515754)"
GA,32.157435,-82.907123,Georgia,"(32.157435, -82.907123)"
IA,41.878003,-93.097702,Iowa,"(41.878003, -93.097702)"
ID,44.068202,-114.742041,Idaho,"(44.068202, -114.742041)"
IL,40.633125,-89.398528,Illinois,"(40.633125, -89.398528)"
IN,40.551217,-85.602364,Indiana,"(40.551217, -85.602364)"
KS,39.011902,-98.484246,Kansas,"(39.011902, -98.484246)"
KY,37.839333,-84.270018,Kentucky,"(37.839333, -84.270018)"
LA,31.244823,-92.145024,Louisiana,"(31.244823, -92.145024)"
MA,42.407211,-71.382437,Massachusetts,"(42.407211, -71.382437)"
MD,39.045755,-76.641271,Maryland,"(39.045755, -76.641271)"
ME,45.253783,-69.445469,Maine,"(45.253783, -69.445469)"
MI,44.314844,-85.602364,Michigan,"(44.314844, -85.602364)"
MN,46.729553,-94.6859,Minnesota,"(46.729553, -94.6859)"
MO,37.964253,-91.831833,Missouri,"(37.964253, -91.831833)"
MS,32.354668,-89.398528,Mississippi,"(32.354668, -89.398528)"
MT,46.879682,-110.362566,Montana,"(46.879682, -110.362566)"
NC,35.759573,-79.0193,North Carolina,"(35.759573, -79.0193)"
ND,47.551493,-101.002012,North Dakota,"(47.551493, -101.002012)"
NE,41.492537,-99.901813,Nebraska,"(41.492537, -99.901813)"
NH,43.193852,-71.572395,New Hampshire,"(43.193852, -71.572395)"
NJ,40.058324,-74.405661,New Jersey,"(40.058324, -74.405661)"
NM,34.97273,-105.032363,New Mexico,"(34.97273, -105.032363)"
NV,38.80261,-116.419389,Nevada,"(38.80261, -116.419389)"
NY,43.299428,-74.217933,New York,"(43.299428, -74.217933)"
OH,40.417287,-82.907123,Ohio,"(40.417287, -82.907123)"
OK,35.007752,-97.092877,Oklahoma,"(35.007752, -97.092877)"
OR,43.804133,-120.554201,Oregon,"(43.804133, -120.554201)"
PA,41.203322,-77.194525,Pennsylvania,"(41.203322, -77.194525)"
RI,41.580095,-71.477429,Rhode Island,"(41.580095, -71.477429)"
SD,43.969515,-99.901813,South Dakota,"(43.969515, -99.901813)"
TN,35.517491,-86.580447,Tennessee,"(35.517491, -86.580447)"
TX,31.968599,-99.901813,Texas,"(31.968599, -99.901813)"
UT,39.32098,-111.093731,Utah,"(39.32098, -111.093731)"
VA,37.431573,-78.656894,Virginia,"(37.431573, -78.656894)"
VT,44.558803,-72.577841,Vermont,"(44.558803, -72.577841)"
WA,47.751074,-120.740139,Washington,"(47.751074, -120.740139)"
WI,43.78444,-88.787868,Wisconsin,"(43.78444, -88.787868)"
WV,38.597626,-80.454903,West Virginia,"(38.597626, -80.454903)"
WY,43.075968,-107.290284,Wyoming,"(43.075968, -107.290284)"
DC,38.942142,-77.025955, District of Columbia,"(38.942142, -77.025955)"
FM,6.9167,158.1833, Federated States of Micronesia,"(6.9167, 158.1833)"
GU,13.444304,144.793732, Guam,"(13.444304, 144.793732)"
MH,6.0683936,171.989379, Marshall Islands,"(6.0683936, 171.989379)"
MP,15.183333,145.75, Northern Mariana Islands,"(15.183333, 145.75)"
PW,7.51498,134.58252, Palau,"(7.51498, 134.58252)"
